player,score
"['M_Anh', 'Hieu', 'NA_ifelse', 'NA_RL']","[0, 4, 4, 8]"
"['PhongMinhAnh', 'Hieu', 'M_Anh', 'NA_RL']","[0, 2, 2, 6]"
"['Hieu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 4, 6]"
"['Phongcu', 'M_Anh', 'Hieu', 'NA_RL']","[0, 2, 3, 4]"
"['Hieu', 'NA_RL', 'PhongMinhAnh', 'NA_ifelse']","[0, 3, 3, 4]"
"['Hieu', 'NA_ifelse', 'random', 'NA_RL']","[0, 1, 5, 8]"
"['NA_ifelse', 'NA_RL', 'Hieu', 'Phongcu']","[0, 1, 3, 5]"
"['PhongMinhAnh', 'Hieu', 'NA_RL', 'random']","[0, 2, 3, 7]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 3, 3, 7]"
"['Phongcu', 'Hieu', 'random', 'NA_RL']","[0, 5, 8, 12]"
"['NA_RL', 'NA_ifelse', 'PhongMinhAnh', 'M_Anh']","[0, 1, 1, 2]"
"['NA_ifelse', 'M_Anh', 'NA_RL', 'random']","[0, 4, 9, 9]"
"['M_Anh', 'NA_RL', 'NA_ifelse', 'Phongcu']","[0, 5, 5, 7]"
"['NA_RL', 'M_Anh', 'PhongMinhAnh', 'random']","[0, 6, 6, 7]"
"['Phongcu', 'PhongMinhAnh', 'M_Anh', 'NA_RL']","[0, 1, 5, 10]"
"['Phongcu', 'random', 'NA_RL', 'M_Anh']","[0, 1, 2, 3]"
"['NA_RL', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 1, 2, 2]"
"['NA_ifelse', 'PhongMinhAnh', 'Phongcu', 'NA_RL']","[0, 8, 8, 13]"
"['Phongcu', 'NA_ifelse', 'NA_RL', 'random']","[0, 3, 7, 8]"
"['Phongcu', 'random', 'NA_RL', 'PhongMinhAnh']","[0, 3, 9, 9]"
"['PhongMinhAnh', 'Hieu', 'M_Anh', 'NA_ifelse']","[0, 3, 3, 3]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'random']","[0, 2, 5, 7]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_ifelse']","[0, 1, 1, 3]"
"['Hieu', 'PhongMinhAnh', 'random', 'M_Anh']","[0, 1, 2, 4]"
"['Phongcu', 'PhongMinhAnh', 'Hieu', 'M_Anh']","[0, 3, 5, 9]"
"['Phongcu', 'Hieu', 'M_Anh', 'random']","[0, 2, 3, 6]"
"['Hieu', 'random', 'PhongMinhAnh', 'NA_ifelse']","[0, 3, 7, 10]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'PhongMinhAnh']","[0, 1, 3, 3]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'random']","[0, 1, 3, 10]"
"['Phongcu', 'PhongMinhAnh', 'random', 'Hieu']","[0, 1, 1, 2]"
"['M_Anh', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 1, 5, 5]"
"['Phongcu', 'M_Anh', 'NA_ifelse', 'PhongMinhAnh']","[0, 6, 6, 10]"
"['M_Anh', 'NA_ifelse', 'Phongcu', 'random']","[0, 2, 4, 8]"
"['PhongMinhAnh', 'Phongcu', 'random', 'M_Anh']","[0, 4, 5, 8]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 5, 5, 8]"
"['M_Anh', 'Hieu', 'NA_RL', 'NA_ifelse']","[0, 3, 4, 4]"
"['PhongMinhAnh', 'M_Anh', 'NA_RL', 'Hieu']","[0, 2, 3, 3]"
"['Hieu', 'NA_RL', 'random', 'M_Anh']","[0, 4, 8, 11]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_RL']","[0, 2, 7, 10]"
"['NA_ifelse', 'NA_RL', 'PhongMinhAnh', 'Hieu']","[0, 5, 5, 8]"
"['NA_ifelse', 'random', 'NA_RL', 'Hieu']","[0, 5, 7, 7]"
"['NA_RL', 'Hieu', 'Phongcu', 'NA_ifelse']","[0, 2, 2, 7]"
"['PhongMinhAnh', 'NA_RL', 'random', 'Hieu']","[0, 4, 4, 6]"
"['Phongcu', 'PhongMinhAnh', 'Hieu', 'NA_RL']","[0, 2, 4, 7]"
"['Phongcu', 'random', 'Hieu', 'NA_RL']","[0, 3, 6, 10]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'PhongMinhAnh']","[0, 2, 5, 7]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'random']","[0, 3, 6, 8]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'Phongcu']","[0, 1, 4, 6]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 4, 6, 7]"
"['PhongMinhAnh', 'Phongcu', 'M_Anh', 'NA_RL']","[0, 1, 2, 6]"
"['Phongcu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 3, 3]"
"['NA_ifelse', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 4, 7, 11]"
"['Phongcu', 'NA_RL', 'PhongMinhAnh', 'NA_ifelse']","[0, 1, 3, 5]"
"['NA_ifelse', 'Phongcu', 'random', 'NA_RL']","[0, 1, 3, 6]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 2, 2, 5]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'NA_ifelse']","[0, 1, 2, 3]"
"['Hieu', 'M_Anh', 'NA_ifelse', 'random']","[0, 2, 10, 11]"
"['Hieu', 'NA_ifelse', 'M_Anh', 'Phongcu']","[0, 3, 4, 6]"
"['M_Anh', 'Hieu', 'random', 'PhongMinhAnh']","[0, 11, 11, 12]"
"['Hieu', 'Phongcu', 'M_Anh', 'PhongMinhAnh']","[0, 2, 3, 5]"
"['Phongcu', 'Hieu', 'M_Anh', 'random']","[0, 3, 4, 6]"
"['Hieu', 'PhongMinhAnh', 'random', 'NA_ifelse']","[0, 2, 3, 8]"
"['NA_ifelse', 'PhongMinhAnh', 'Phongcu', 'Hieu']","[0, 2, 2, 8]"
"['NA_ifelse', 'random', 'Phongcu', 'Hieu']","[0, 1, 1, 2]"
"['Hieu', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 1, 3, 7]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 2, 2, 7]"
"['PhongMinhAnh', 'M_Anh', 'NA_ifelse', 'Phongcu']","[0, 4, 5, 6]"
"['M_Anh', 'NA_ifelse', 'random', 'Phongcu']","[0, 2, 5, 8]"
"['M_Anh', 'Phongcu', 'random', 'PhongMinhAnh']","[0, 1, 4, 5]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 2, 6, 12]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'NA_RL']","[0, 1, 8, 9]"
"['Hieu', 'NA_RL', 'PhongMinhAnh', 'M_Anh']","[0, 6, 9, 11]"
"['Hieu', 'M_Anh', 'random', 'NA_RL']","[0, 2, 2, 5]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_RL']","[0, 1, 1, 3]"
"['PhongMinhAnh', 'NA_ifelse', 'Hieu', 'NA_RL']","[0, 1, 2, 8]"
"['NA_ifelse', 'random', 'Hieu', 'NA_RL']","[0, 1, 3, 11]"
"['NA_ifelse', 'Hieu', 'Phongcu', 'NA_RL']","[0, 1, 3, 4]"
"['Hieu', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 4, 5, 7]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 5]"
"['Hieu', 'Phongcu', 'random', 'NA_RL']","[0, 3, 5, 7]"
"['M_Anh', 'PhongMinhAnh', 'NA_ifelse', 'NA_RL']","[0, 1, 2, 4]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'random']","[0, 1, 3, 4]"
"['M_Anh', 'NA_RL', 'Phongcu', 'NA_ifelse']","[0, 3, 4, 5]"
"['PhongMinhAnh', 'random', 'M_Anh', 'NA_RL']","[0, 5, 6, 10]"
"['PhongMinhAnh', 'Phongcu', 'NA_RL', 'M_Anh']","[0, 2, 4, 4]"
"['Phongcu', 'random', 'NA_RL', 'M_Anh']","[0, 3, 5, 6]"
"['NA_ifelse', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 2, 2, 3]"
"['Phongcu', 'PhongMinhAnh', 'NA_ifelse', 'NA_RL']","[0, 1, 5, 6]"
"['NA_ifelse', 'NA_RL', 'random', 'Phongcu']","[0, 3, 8, 8]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 1, 6, 7]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'M_Anh']","[0, 5, 8, 10]"
"['Hieu', 'NA_ifelse', 'random', 'M_Anh']","[0, 1, 4, 5]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'Phongcu']","[0, 3, 8, 10]"
"['M_Anh', 'Hieu', 'random', 'PhongMinhAnh']","[0, 2, 6, 7]"
"['Hieu', 'Phongcu', 'M_Anh', 'PhongMinhAnh']","[0, 3, 4, 5]"
"['Hieu', 'random', 'Phongcu', 'M_Anh']","[0, 5, 9, 10]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 1, 2, 5]"
"['NA_ifelse', 'Hieu', 'PhongMinhAnh', 'Phongcu']","[0, 2, 3, 3]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'random']","[0, 4, 4, 5]"
"['Hieu', 'random', 'Phongcu', 'PhongMinhAnh']","[0, 1, 1, 7]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 1, 1, 5]"
"['Phongcu', 'M_Anh', 'PhongMinhAnh', 'NA_ifelse']","[0, 2, 2, 3]"
"['Phongcu', 'random', 'M_Anh', 'NA_ifelse']","[0, 1, 2, 2]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 1, 1, 8]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 1, 1, 1]"
"['M_Anh', 'Hieu', 'NA_RL', 'NA_ifelse']","[0, 1, 2, 2]"
"['Hieu', 'M_Anh', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 4]"
"['M_Anh', 'Hieu', 'NA_RL', 'random']","[0, 7, 10, 13]"
"['Phongcu', 'NA_RL', 'Hieu', 'M_Anh']","[0, 2, 2, 4]"
"['PhongMinhAnh', 'Hieu', 'NA_ifelse', 'NA_RL']","[0, 1, 2, 8]"
"['Hieu', 'NA_ifelse', 'random', 'NA_RL']","[0, 4, 9, 10]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'NA_RL']","[0, 3, 3, 9]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 4, 5, 9]"
"['Phongcu', 'NA_RL', 'Hieu', 'PhongMinhAnh']","[0, 3, 4, 5]"
"['Hieu', 'random', 'Phongcu', 'NA_RL']","[0, 4, 4, 5]"
"['NA_ifelse', 'M_Anh', 'NA_RL', 'PhongMinhAnh']","[0, 3, 5, 5]"
"['NA_ifelse', 'NA_RL', 'M_Anh', 'random']","[0, 4, 6, 8]"
"['NA_ifelse', 'M_Anh', 'Phongcu', 'NA_RL']","[0, 2, 2, 3]"
"['PhongMinhAnh', 'NA_RL', 'M_Anh', 'random']","[0, 1, 2, 2]"
"['PhongMinhAnh', 'Phongcu', 'NA_RL', 'M_Anh']","[0, 1, 2, 2]"
"['Phongcu', 'random', 'M_Anh', 'NA_RL']","[0, 2, 3, 4]"
"['NA_ifelse', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 3, 8]"
"['NA_ifelse', 'NA_RL', 'PhongMinhAnh', 'Phongcu']","[0, 3, 5, 10]"
"['NA_ifelse', 'Phongcu', 'NA_RL', 'random']","[0, 2, 6, 6]"
"['Phongcu', 'random', 'NA_RL', 'PhongMinhAnh']","[0, 2, 5, 5]"
"['NA_ifelse', 'M_Anh', 'Hieu', 'PhongMinhAnh']","[0, 4, 8, 8]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'random']","[0, 2, 2, 5]"
"['Hieu', 'Phongcu', 'M_Anh', 'NA_ifelse']","[0, 5, 6, 8]"
"['PhongMinhAnh', 'Hieu', 'M_Anh', 'random']","[0, 4, 5, 5]"
"['PhongMinhAnh', 'Hieu', 'Phongcu', 'M_Anh']","[0, 1, 1, 2]"
"['Hieu', 'Phongcu', 'M_Anh', 'random']","[0, 2, 7, 7]"
"['PhongMinhAnh', 'Hieu', 'NA_ifelse', 'random']","[0, 1, 2, 5]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'PhongMinhAnh']","[0, 1, 1, 4]"
"['Phongcu', 'Hieu', 'random', 'NA_ifelse']","[0, 1, 1, 2]"
"['PhongMinhAnh', 'Hieu', 'random', 'Phongcu']","[0, 2, 2, 7]"
"['NA_ifelse', 'PhongMinhAnh', 'random', 'M_Anh']","[0, 2, 8, 9]"
"['Phongcu', 'PhongMinhAnh', 'NA_ifelse', 'M_Anh']","[0, 1, 2, 5]"
"['M_Anh', 'Phongcu', 'NA_ifelse', 'random']","[0, 1, 9, 12]"
"['M_Anh', 'Phongcu', 'PhongMinhAnh', 'random']","[0, 8, 9, 9]"
"['PhongMinhAnh', 'NA_ifelse', 'Phongcu', 'random']","[0, 3, 3, 5]"
"['Hieu', 'NA_ifelse', 'M_Anh', 'NA_RL']","[0, 3, 5, 8]"
"['NA_RL', 'M_Anh', 'Hieu', 'PhongMinhAnh']","[0, 1, 2, 7]"
"['Hieu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 7, 8]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_RL']","[0, 1, 3, 5]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'PhongMinhAnh']","[0, 4, 9, 12]"
"['Hieu', 'NA_ifelse', 'random', 'NA_RL']","[0, 5, 6, 9]"
"['NA_RL', 'Phongcu', 'Hieu', 'NA_ifelse']","[0, 1, 3, 9]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 5, 9, 9]"
"['Hieu', 'Phongcu', 'PhongMinhAnh', 'NA_RL']","[0, 4, 5, 7]"
"['Phongcu', 'NA_RL', 'Hieu', 'random']","[0, 3, 3, 4]"
"['NA_ifelse', 'PhongMinhAnh', 'NA_RL', 'M_Anh']","[0, 2, 3, 5]"
"['NA_ifelse', 'M_Anh', 'random', 'NA_RL']","[0, 2, 7, 8]"
"['NA_ifelse', 'M_Anh', 'Phongcu', 'NA_RL']","[0, 1, 1, 4]"
"['PhongMinhAnh', 'M_Anh', 'NA_RL', 'random']","[0, 2, 4, 5]"
"['Phongcu', 'PhongMinhAnh', 'NA_RL', 'M_Anh']","[0, 1, 2, 4]"
"['Phongcu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 5, 8]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'random']","[0, 4, 7, 10]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'Phongcu']","[0, 2, 8, 10]"
"['Phongcu', 'NA_ifelse', 'NA_RL', 'random']","[0, 3, 4, 5]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 1, 4, 8]"
"['M_Anh', 'PhongMinhAnh', 'Hieu', 'NA_ifelse']","[0, 2, 3, 3]"
"['Hieu', 'M_Anh', 'NA_ifelse', 'random']","[0, 1, 1, 3]"
"['Phongcu', 'M_Anh', 'NA_ifelse', 'Hieu']","[0, 3, 4, 5]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'random']","[0, 2, 4, 5]"
"['PhongMinhAnh', 'Phongcu', 'M_Anh', 'Hieu']","[0, 3, 5, 6]"
"['Phongcu', 'Hieu', 'M_Anh', 'random']","[0, 4, 4, 9]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 4, 6, 7]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'PhongMinhAnh']","[0, 9, 10, 12]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'random']","[0, 5, 8, 8]"
"['Phongcu', 'PhongMinhAnh', 'Hieu', 'random']","[0, 1, 8, 9]"
"['NA_ifelse', 'PhongMinhAnh', 'random', 'M_Anh']","[0, 3, 5, 6]"
"['PhongMinhAnh', 'Phongcu', 'M_Anh', 'NA_ifelse']","[0, 1, 4, 5]"
"['Phongcu', 'NA_ifelse', 'random', 'M_Anh']","[0, 1, 1, 2]"
"['Phongcu', 'M_Anh', 'PhongMinhAnh', 'random']","[0, 4, 5, 6]"
"['PhongMinhAnh', 'NA_ifelse', 'random', 'Phongcu']","[0, 1, 3, 6]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'M_Anh']","[0, 1, 5, 7]"
"['M_Anh', 'PhongMinhAnh', 'Hieu', 'NA_RL']","[0, 2, 6, 9]"
"['M_Anh', 'Hieu', 'random', 'NA_RL']","[0, 6, 8, 9]"
"['M_Anh', 'Phongcu', 'Hieu', 'NA_RL']","[0, 1, 3, 5]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 3]"
"['Hieu', 'NA_ifelse', 'random', 'NA_RL']","[0, 1, 4, 9]"
"['Hieu', 'Phongcu', 'NA_ifelse', 'NA_RL']","[0, 1, 5, 6]"
"['PhongMinhAnh', 'NA_RL', 'Hieu', 'random']","[0, 3, 3, 5]"
"['PhongMinhAnh', 'Hieu', 'Phongcu', 'NA_RL']","[0, 1, 2, 5]"
"['NA_RL', 'Hieu', 'Phongcu', 'random']","[0, 7, 8, 12]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'NA_ifelse']","[0, 1, 3, 7]"
"['NA_ifelse', 'NA_RL', 'M_Anh', 'random']","[0, 5, 7, 9]"
"['Phongcu', 'NA_RL', 'M_Anh', 'NA_ifelse']","[0, 2, 2, 5]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 2, 5]"
"['PhongMinhAnh', 'M_Anh', 'NA_RL', 'Phongcu']","[0, 7, 10, 13]"
"['M_Anh', 'Phongcu', 'random', 'NA_RL']","[0, 1, 4, 5]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'random']","[0, 3, 4, 5]"
"['PhongMinhAnh', 'Phongcu', 'NA_ifelse', 'NA_RL']","[0, 1, 4, 10]"
"['NA_ifelse', 'Phongcu', 'NA_RL', 'random']","[0, 1, 3, 7]"
"['Phongcu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 2, 3, 7]"
"['Hieu', 'PhongMinhAnh', 'M_Anh', 'NA_ifelse']","[0, 1, 3, 4]"
"['M_Anh', 'Hieu', 'random', 'NA_ifelse']","[0, 4, 4, 9]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'M_Anh']","[0, 1, 1, 2]"
"['PhongMinhAnh', 'M_Anh', 'Hieu', 'random']","[0, 2, 6, 6]"
"['Hieu', 'M_Anh', 'PhongMinhAnh', 'Phongcu']","[0, 3, 4, 9]"
"['Phongcu', 'random', 'Hieu', 'M_Anh']","[0, 1, 3, 3]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 1, 4, 4]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'Hieu']","[0, 1, 2, 3]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'random']","[0, 1, 1, 12]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'random']","[0, 1, 2, 7]"
"['NA_ifelse', 'M_Anh', 'PhongMinhAnh', 'random']","[0, 1, 2, 4]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'NA_ifelse']","[0, 1, 3, 6]"
"['Phongcu', 'M_Anh', 'NA_ifelse', 'random']","[0, 1, 4, 8]"
"['Phongcu', 'M_Anh', 'random', 'PhongMinhAnh']","[0, 2, 5, 8]"
"['PhongMinhAnh', 'NA_ifelse', 'Phongcu', 'random']","[0, 4, 4, 9]"
"['NA_ifelse', 'Hieu', 'NA_RL', 'M_Anh']","[0, 2, 4, 5]"
"['Hieu', 'PhongMinhAnh', 'M_Anh', 'NA_RL']","[0, 3, 4, 5]"
"['Hieu', 'NA_RL', 'M_Anh', 'random']","[0, 6, 7, 9]"
"['Hieu', 'M_Anh', 'Phongcu', 'NA_RL']","[0, 4, 4, 7]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'NA_ifelse']","[0, 2, 10, 11]"
"['NA_ifelse', 'random', 'Hieu', 'NA_RL']","[0, 2, 3, 5]"
"['Phongcu', 'Hieu', 'NA_RL', 'NA_ifelse']","[0, 4, 8, 9]"
"['NA_RL', 'Hieu', 'random', 'PhongMinhAnh']","[0, 2, 3, 6]"
"['Phongcu', 'Hieu', 'NA_RL', 'PhongMinhAnh']","[0, 3, 4, 4]"
"['Phongcu', 'Hieu', 'random', 'NA_RL']","[0, 4, 6, 12]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 1, 4, 5]"
"['NA_RL', 'M_Anh', 'random', 'NA_ifelse']","[0, 1, 1, 2]"
"['M_Anh', 'NA_ifelse', 'Phongcu', 'NA_RL']","[0, 5, 6, 7]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 4, 4]"
"['Phongcu', 'NA_RL', 'M_Anh', 'PhongMinhAnh']","[0, 3, 6, 6]"
"['Phongcu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 3, 8]"
"['NA_ifelse', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 5, 5, 6]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'Phongcu']","[0, 1, 3, 5]"
"['NA_RL', 'NA_ifelse', 'Phongcu', 'random']","[0, 2, 5, 6]"
"['PhongMinhAnh', 'Phongcu', 'NA_RL', 'random']","[0, 1, 2, 2]"
"['NA_ifelse', 'Hieu', 'M_Anh', 'PhongMinhAnh']","[0, 2, 2, 2]"
"['NA_ifelse', 'Hieu', 'M_Anh', 'random']","[0, 2, 3, 5]"
"['NA_ifelse', 'M_Anh', 'Phongcu', 'Hieu']","[0, 6, 6, 10]"
"['PhongMinhAnh', 'Hieu', 'M_Anh', 'random']","[0, 1, 1, 5]"
"['PhongMinhAnh', 'Phongcu', 'Hieu', 'M_Anh']","[0, 2, 6, 9]"
"['Hieu', 'Phongcu', 'random', 'M_Anh']","[0, 2, 7, 8]"
"['NA_ifelse', 'PhongMinhAnh', 'Hieu', 'random']","[0, 3, 6, 8]"
"['Phongcu', 'PhongMinhAnh', 'NA_ifelse', 'Hieu']","[0, 2, 3, 4]"
"['Phongcu', 'Hieu', 'random', 'NA_ifelse']","[0, 6, 7, 8]"
"['Phongcu', 'Hieu', 'random', 'PhongMinhAnh']","[0, 3, 3, 5]"
"['PhongMinhAnh', 'NA_ifelse', 'M_Anh', 'random']","[0, 1, 3, 6]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'NA_ifelse']","[0, 1, 1, 6]"
"['NA_ifelse', 'Phongcu', 'M_Anh', 'random']","[0, 1, 2, 6]"
"['PhongMinhAnh', 'M_Anh', 'Phongcu', 'random']","[0, 3, 4, 8]"
"['Phongcu', 'NA_ifelse', 'random', 'PhongMinhAnh']","[0, 12, 12, 13]"
"['NA_ifelse', 'M_Anh', 'Hieu', 'NA_RL']","[0, 1, 5, 8]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'M_Anh']","[0, 2, 3, 4]"
"['Hieu', 'M_Anh', 'random', 'NA_RL']","[0, 1, 3, 6]"
"['Hieu', 'NA_RL', 'M_Anh', 'Phongcu']","[0, 3, 4, 7]"
"['PhongMinhAnh', 'Hieu', 'NA_RL', 'NA_ifelse']","[0, 1, 5, 5]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'random']","[0, 3, 4, 6]"
"['Hieu', 'NA_RL', 'Phongcu', 'NA_ifelse']","[0, 5, 9, 12]"
"['NA_RL', 'PhongMinhAnh', 'Hieu', 'random']","[0, 3, 5, 9]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 2, 6, 8]"
"['Phongcu', 'Hieu', 'NA_RL', 'random']","[0, 2, 4, 9]"
"['NA_ifelse', 'M_Anh', 'PhongMinhAnh', 'NA_RL']","[0, 2, 3, 11]"
"['NA_ifelse', 'M_Anh', 'random', 'NA_RL']","[0, 2, 2, 9]"
"['NA_ifelse', 'Phongcu', 'NA_RL', 'M_Anh']","[0, 3, 5, 6]"
"['M_Anh', 'NA_RL', 'random', 'PhongMinhAnh']","[0, 3, 5, 8]"
